"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE"
"musl","1.1.18","MIT","COPYRIGHT","musl-1.1.18.tar.gz","http://www.musl-libc.org/releases"
"linux-headers","4.1.49","GPL-2.0","COPYING","linux-4.1.49.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v4.x"
"dash","0.5.9.1","BSD-3-Clause, GPL-2.0+ (mksignames.c)","COPYING","dash-0.5.9.1.tar.gz","http://gondor.apana.org.au/~herbert/dash/files"
"gdb","7.11.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-7.11.1.tar.xz","http://ftp.gnu.org/pub/gnu/gdb"
"buildroot","2018.02-rc2-00006-g39101b7","GPL-2.0+","COPYING","not saved","not saved"
"lzip","1.19","GPL-2.0+","COPYING","lzip-1.19.tar.gz","http://download.savannah.gnu.org/releases/lzip"
"gcc-final","6.4.0","unknown","","gcc-6.4.0.tar.xz","http://ftp.gnu.org/pub/gnu/gcc/gcc-6.4.0"
"binutils","2.29.1","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.29.1.tar.xz","http://ftp.gnu.org/pub/gnu/binutils"
"gmp","6.1.2","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.1.2.tar.xz","http://ftp.gnu.org/pub/gnu/gmp"
"m4","1.4.18","GPL-3.0+","COPYING","m4-1.4.18.tar.xz","http://ftp.gnu.org/pub/gnu/m4"
"mpc","1.0.3","LGPL-3.0+","COPYING.LESSER","mpc-1.0.3.tar.gz","http://ftp.gnu.org/pub/gnu/mpc"
"mpfr","3.1.6","LGPL-3.0+","COPYING.LESSER","mpfr-3.1.6.tar.xz","http://www.mpfr.org/mpfr-3.1.6"
"gcc-initial","6.4.0","unknown","","gcc-6.4.0.tar.xz","http://ftp.gnu.org/pub/gnu/gcc/gcc-6.4.0"
"gdb","7.11.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-7.11.1.tar.xz","http://ftp.gnu.org/pub/gnu/gdb"
"expat","2.2.5","MIT","COPYING","expat-2.2.5.tar.bz2","http://downloads.sourceforge.net/project/expat/expat/2.2.5"
"pkgconf","0.9.12","pkgconf license","COPYING","pkgconf-0.9.12.tar.bz2","https://github.com/pkgconf/pkgconf/releases/download/pkgconf-0.9.12"
"ncurses","6.0","MIT with advertising clause","README","ncurses-6.0.tar.gz","http://ftp.gnu.org/pub/gnu/ncurses"
"patchelf","0.9","GPL-3.0+","COPYING","patchelf-0.9.tar.bz2","http://releases.nixos.org/patchelf/patchelf-0.9"
